"sim" "time" "unit" "par_set"
49 0.2130652 "mins" "params_EndSize0d1Carring_competition_0d2"
50 0.1059171 "mins" "params_EndSize0d1Carring_competition_0d2"
51 0.08387896 "mins" "params_EndSize0d1Carring_competition_0d2"
52 0.08845347 "mins" "params_EndSize0d1Carring_competition_0d2"
53 0.09862589 "mins" "params_EndSize0d1Carring_competition_0d2"
54 0.09605164 "mins" "params_EndSize0d1Carring_competition_0d2"
55 0.1378267 "mins" "params_EndSize0d1Carring_competition_0d2"
56 0.1700552 "mins" "params_EndSize0d1Carring_competition_0d2"
57 0.1903295 "mins" "params_EndSize0d1Carring_competition_0d2"
58 0.1702034 "mins" "params_EndSize0d1Carring_competition_0d2"
59 0.1044234 "mins" "params_EndSize0d1Carring_competition_0d2"
60 0.1730136 "mins" "params_EndSize0d1Carring_competition_0d2"
61 0.08279739 "mins" "params_EndSize0d1Carring_competition_0d2"
62 0.15786 "mins" "params_EndSize0d1Carring_competition_0d2"
63 0.1083909 "mins" "params_EndSize0d1Carring_competition_0d2"
64 0.09219427 "mins" "params_EndSize0d1Carring_competition_0d2"
65 0.09034797 "mins" "params_EndSize0d1Carring_competition_0d2"
66 0.1492432 "mins" "params_EndSize0d1Carring_competition_0d2"
67 0.1105961 "mins" "params_EndSize0d1Carring_competition_0d2"
68 0.1178385 "mins" "params_EndSize0d1Carring_competition_0d2"
69 0.1483922 "mins" "params_EndSize0d1Carring_competition_0d2"
70 0.09651783 "mins" "params_EndSize0d1Carring_competition_0d2"
71 0.104757 "mins" "params_EndSize0d1Carring_competition_0d2"
72 0.1110595 "mins" "params_EndSize0d1Carring_competition_0d2"
73 0.2307992 "mins" "params_EndSize0d1Carring_competition_0d2"
74 0.1203486 "mins" "params_EndSize0d1Carring_competition_0d2"
75 0.08882343 "mins" "params_EndSize0d1Carring_competition_0d2"
76 0.07453533 "mins" "params_EndSize0d1Carring_competition_0d2"
77 0.08502826 "mins" "params_EndSize0d1Carring_competition_0d2"
78 0.1096645 "mins" "params_EndSize0d1Carring_competition_0d2"
79 0.1110362 "mins" "params_EndSize0d1Carring_competition_0d2"
80 0.1298311 "mins" "params_EndSize0d1Carring_competition_0d2"
81 0.1007904 "mins" "params_EndSize0d1Carring_competition_0d2"
82 0.1160758 "mins" "params_EndSize0d1Carring_competition_0d2"
83 0.1536864 "mins" "params_EndSize0d1Carring_competition_0d2"
84 0.09115643 "mins" "params_EndSize0d1Carring_competition_0d2"
85 0.111438 "mins" "params_EndSize0d1Carring_competition_0d2"
86 0.08888874 "mins" "params_EndSize0d1Carring_competition_0d2"
87 0.1049694 "mins" "params_EndSize0d1Carring_competition_0d2"
88 0.1171925 "mins" "params_EndSize0d1Carring_competition_0d2"
89 0.1122588 "mins" "params_EndSize0d1Carring_competition_0d2"
90 0.08726656 "mins" "params_EndSize0d1Carring_competition_0d2"
91 0.1211678 "mins" "params_EndSize0d1Carring_competition_0d2"
92 0.1233088 "mins" "params_EndSize0d1Carring_competition_0d2"
93 0.1524174 "mins" "params_EndSize0d1Carring_competition_0d2"
94 0.1289192 "mins" "params_EndSize0d1Carring_competition_0d2"
95 0.1040689 "mins" "params_EndSize0d1Carring_competition_0d2"
96 0.09525198 "mins" "params_EndSize0d1Carring_competition_0d2"
97 0.1194826 "mins" "params_EndSize0d1Carring_competition_0d2"
98 0.1001967 "mins" "params_EndSize0d1Carring_competition_0d2"
99 0.1004539 "mins" "params_EndSize0d1Carring_competition_0d2"
100 0.1363573 "mins" "params_EndSize0d1Carring_competition_0d2"
1 0.08041311 "mins" "params_EndSize0d1Carring_competition_0d5"
2 0.09583179 "mins" "params_EndSize0d1Carring_competition_0d5"
3 0.2191648 "mins" "params_EndSize0d1Carring_competition_0d5"
4 0.2314579 "mins" "params_EndSize0d1Carring_competition_0d5"
5 0.09855546 "mins" "params_EndSize0d1Carring_competition_0d5"
6 0.09426612 "mins" "params_EndSize0d1Carring_competition_0d5"
7 0.2310791 "mins" "params_EndSize0d1Carring_competition_0d5"
8 0.1566637 "mins" "params_EndSize0d1Carring_competition_0d5"
9 0.1359955 "mins" "params_EndSize0d1Carring_competition_0d5"
10 0.1069829 "mins" "params_EndSize0d1Carring_competition_0d5"
11 0.07632715 "mins" "params_EndSize0d1Carring_competition_0d5"
12 0.1160177 "mins" "params_EndSize0d1Carring_competition_0d5"
13 0.07969684 "mins" "params_EndSize0d1Carring_competition_0d5"
14 0.1695334 "mins" "params_EndSize0d1Carring_competition_0d5"
15 0.1727311 "mins" "params_EndSize0d1Carring_competition_0d5"
16 0.09495772 "mins" "params_EndSize0d1Carring_competition_0d5"
17 0.1544248 "mins" "params_EndSize0d1Carring_competition_0d5"
18 0.09708929 "mins" "params_EndSize0d1Carring_competition_0d5"
19 0.1117861 "mins" "params_EndSize0d1Carring_competition_0d5"
20 0.0907575 "mins" "params_EndSize0d1Carring_competition_0d5"
21 0.1004605 "mins" "params_EndSize0d1Carring_competition_0d5"
22 0.1867817 "mins" "params_EndSize0d1Carring_competition_0d5"
23 0.1298753 "mins" "params_EndSize0d1Carring_competition_0d5"
24 0.1274414 "mins" "params_EndSize0d1Carring_competition_0d5"
25 0.09054653 "mins" "params_EndSize0d1Carring_competition_0d5"
26 0.1047624 "mins" "params_EndSize0d1Carring_competition_0d5"
27 0.1241486 "mins" "params_EndSize0d1Carring_competition_0d5"
28 0.1046418 "mins" "params_EndSize0d1Carring_competition_0d5"
29 0.1986856 "mins" "params_EndSize0d1Carring_competition_0d5"
30 0.112013 "mins" "params_EndSize0d1Carring_competition_0d5"
31 0.08412569 "mins" "params_EndSize0d1Carring_competition_0d5"
32 0.1610874 "mins" "params_EndSize0d1Carring_competition_0d5"
33 0.0950098 "mins" "params_EndSize0d1Carring_competition_0d5"
34 0.08945376 "mins" "params_EndSize0d1Carring_competition_0d5"
35 0.08270699 "mins" "params_EndSize0d1Carring_competition_0d5"
36 0.0955658 "mins" "params_EndSize0d1Carring_competition_0d5"
37 0.220685 "mins" "params_EndSize0d1Carring_competition_0d5"
38 0.07641608 "mins" "params_EndSize0d1Carring_competition_0d5"
39 0.1051862 "mins" "params_EndSize0d1Carring_competition_0d5"
40 0.1323044 "mins" "params_EndSize0d1Carring_competition_0d5"
41 0.1877393 "mins" "params_EndSize0d1Carring_competition_0d5"
42 0.09320665 "mins" "params_EndSize0d1Carring_competition_0d5"
43 0.1299184 "mins" "params_EndSize0d1Carring_competition_0d5"
44 0.1677865 "mins" "params_EndSize0d1Carring_competition_0d5"
45 0.1377843 "mins" "params_EndSize0d1Carring_competition_0d5"
46 0.1531371 "mins" "params_EndSize0d1Carring_competition_0d5"
47 0.1342408 "mins" "params_EndSize0d1Carring_competition_0d5"
48 0.1255343 "mins" "params_EndSize0d1Carring_competition_0d5"
49 0.1768477 "mins" "params_EndSize0d1Carring_competition_0d5"
50 0.1038285 "mins" "params_EndSize0d1Carring_competition_0d5"
51 0.1146049 "mins" "params_EndSize0d1Carring_competition_0d5"
52 0.1237482 "mins" "params_EndSize0d1Carring_competition_0d5"
53 0.1102436 "mins" "params_EndSize0d1Carring_competition_0d5"
54 0.1328702 "mins" "params_EndSize0d1Carring_competition_0d5"
55 0.1979977 "mins" "params_EndSize0d1Carring_competition_0d5"
56 0.1888821 "mins" "params_EndSize0d1Carring_competition_0d5"
57 0.1208095 "mins" "params_EndSize0d1Carring_competition_0d5"
58 0.1388271 "mins" "params_EndSize0d1Carring_competition_0d5"
59 0.1011714 "mins" "params_EndSize0d1Carring_competition_0d5"
60 0.08779864 "mins" "params_EndSize0d1Carring_competition_0d5"
61 0.09536601 "mins" "params_EndSize0d1Carring_competition_0d5"
62 0.09803379 "mins" "params_EndSize0d1Carring_competition_0d5"
63 0.133322 "mins" "params_EndSize0d1Carring_competition_0d5"
64 0.1026359 "mins" "params_EndSize0d1Carring_competition_0d5"
65 0.1020568 "mins" "params_EndSize0d1Carring_competition_0d5"
66 0.08933796 "mins" "params_EndSize0d1Carring_competition_0d5"
67 0.09992342 "mins" "params_EndSize0d1Carring_competition_0d5"
68 0.09881723 "mins" "params_EndSize0d1Carring_competition_0d5"
69 0.1216716 "mins" "params_EndSize0d1Carring_competition_0d5"
70 0.1500535 "mins" "params_EndSize0d1Carring_competition_0d5"
71 0.1481965 "mins" "params_EndSize0d1Carring_competition_0d5"
72 0.1004345 "mins" "params_EndSize0d1Carring_competition_0d5"
73 0.1529745 "mins" "params_EndSize0d1Carring_competition_0d5"
74 0.142104 "mins" "params_EndSize0d1Carring_competition_0d5"
75 0.1621216 "mins" "params_EndSize0d1Carring_competition_0d5"
76 0.1556877 "mins" "params_EndSize0d1Carring_competition_0d5"
77 0.09625515 "mins" "params_EndSize0d1Carring_competition_0d5"
78 0.1009 "mins" "params_EndSize0d1Carring_competition_0d5"
79 0.1408571 "mins" "params_EndSize0d1Carring_competition_0d5"
80 0.09651551 "mins" "params_EndSize0d1Carring_competition_0d5"
81 0.1108845 "mins" "params_EndSize0d1Carring_competition_0d5"
82 0.1040264 "mins" "params_EndSize0d1Carring_competition_0d5"
83 0.1112992 "mins" "params_EndSize0d1Carring_competition_0d5"
84 0.1478324 "mins" "params_EndSize0d1Carring_competition_0d5"
